2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-1] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-05 20:29:07 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 20:29:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:29:09 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 20:32:34 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 2 completed shard 2 (1 batches, 207.49s)
2026-05-05 20:32:34 | Controller | INFO | controller.py:1299 | [512_single_run:Controller] Pipeline 3 completed shard 2 (1 batches, 205.28s)
2026-05-05 20:32:34 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-0] Reusing existing inference engine (config hash: c5e4979e)
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 20:32:34 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 20:32:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:32:37 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:32:37 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 1 for shard 3 (1 batches)
2026-05-05 20:32:37 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_single_run:QueryProcessingActor-1] Reusing existing inference engine (config hash: c5e4979e)
